reviewId,content,gender,location,date,score,cluster_id
38e79664-42aa-4fff-a3d7-08c831778153,I can't able to see any comments of anyone post & also my insta front is white and can't able to see my following people recent post please solve this problem quickly.,male,"Cape Town, South Africa",2023-05-02,NEGATIVO,0
ddfced8a-f510-468f-b5f6-2052f7073e82,"Ever since I got phished, I haven't been able to get into my account. I even changed my password and sent 2 face reveal videos. I cannot take a screenshot of the 'Error' screen. I've went through my phone number trying to login and it gives me an error. I go through my Gmail to change my password, I try to login, it doesn't say anything but gives me the option to login again. I spam login until it gives me another Error. I try logging in with Facebook, and it gives me another Error.",male,"Santiago, Chile",2024-09-20,NEGATIVO,0
48f19e98-3d26-4b3c-bb89-80db6639ff46,Respected Instagram admin: I am very happy to use this app.But I am unable to add to story any video please fix this bug as soon as possible. The app is somewhat distructive.And I am unable to add highlight. I hope that the admin will fix the bug as soon as possible And this the most worstttttt app I had ever seen 🙏,male,"Prague, Czech Republic",2021-06-05,NEGATIVO,0
955417af-827d-45fc-b6be-0ce678301893,most of the music added to reel and story is displaying audio unavailable after updating app,male,"Abu Dhabi, United Arab Emirates",2022-10-23,NEGATIVO,0
b734b40b-a340-4d0d-8eb1-a75033ec1a7d,I can't see filters in the camera please help,male,"Krakow, Poland",2022-02-05,NEGATIVO,0
4cd3dd11-4264-470a-803b-17739b188222,Good. Easy to use,male,"Edinburgh, United Kingdom",2021-11-06,NEGATIVO,0
fcac57c4-e9d0-45be-8320-8c431d97a923,professor,male,"Karachi, Pakistan",2022-04-12,NEGATIVO,0
19ff382f-7ff8-4364-a539-450b9f7909f1,Great,male,"Algiers, Algeria",2023-01-03,NEGATIVO,0
5454d590-20e5-4fb0-b5cd-8aa0ebfb19f0,Nz k sckakulaz Kadlmsgin,male,"Alexandria, Egypt",2023-03-29,NEGATIVO,0
bab28868-2a00-4a3c-b1c1-ca101dbb9a9b,When I upload reels it got Stuck,male,"Houston, United States",2023-11-22,NEGATIVO,0
