reviewId,content,gender,location,date,score,cluster_id,prob_topico_0,prob_topico_1,prob_topico_2,prob_topico_3,prob_topico_4,prob_topico_5
38e79664-42aa-4fff-a3d7-08c831778153,I can't able to see any comments of anyone post & also my insta front is white and can't able to see my following people recent post please solve this problem quickly.,male,"Cape Town, South Africa",2023-05-02,NEGATIVO,2,0.032076214,0.036046125,0.83719623,0.025975568,0.042064562,0.026641432
48f19e98-3d26-4b3c-bb89-80db6639ff46,Respected Instagram admin: I am very happy to use this app.But I am unable to add to story any video please fix this bug as soon as possible. The app is somewhat distructive.And I am unable to add highlight. I hope that the admin will fix the bug as soon as possible And this the most worstttttt app I had ever seen 🙏,male,"Prague, Czech Republic",2021-06-05,NEGATIVO,4,0.032299202,0.13221565,0.030028215,0.08682075,0.6918579,0.02677826
b734b40b-a340-4d0d-8eb1-a75033ec1a7d,I can't see filters in the camera please help,male,"Krakow, Poland",2022-02-05,NEGATIVO,2,0.053152025,0.059510924,0.73025715,0.043040976,0.06995594,0.044082943
4cd3dd11-4264-470a-803b-17739b188222,Good. Easy to use,male,"Edinburgh, United Kingdom",2021-11-06,NEGATIVO,4,0.060614225,0.06777683,0.05631289,0.04907516,0.7159701,0.05025076
fcac57c4-e9d0-45be-8320-8c431d97a923,professor,male,"Karachi, Pakistan",2022-04-12,NEGATIVO,4,0.16685303,0.18656923,0.15501288,0.13508964,0.21814944,0.1383257
19ff382f-7ff8-4364-a539-450b9f7909f1,Great,male,"Algiers, Algeria",2023-01-03,NEGATIVO,4,0.16685303,0.18656923,0.15501288,0.13508964,0.21814944,0.1383257
2b42e21a-f61b-4c3b-9deb-5e5921ccf87e,Every time new real results vertical opposite ( 180 degree roatated,male,"Tripoli, Libya",2023-05-06,NEGATIVO,5,0.05310438,0.059412528,0.04933632,0.04301345,0.06989896,0.7252344
41d0bc05-648c-4b67-b806-54958d667b26,𝓜𝓻..𝓗𝓲𝓽𝓽𝓾.𝓷𝓪𝓷𝓸𝓶𝓪,male,"Karachi, Pakistan",2022-05-12,NEGATIVO,4,0.16685303,0.18656923,0.15501288,0.13508964,0.21814944,0.1383257
d4af2421-be65-4409-99fa-2aa89be8c42e,Very bad I am unfollowing and it again following automatically,male,"Auckland, New Zealand",2025-06-10,NEGATIVO,5,0.06069909,0.06787207,0.05639635,0.049268,0.08025163,0.68551284
c817ce44-2d28-4e9b-ad89-e6c3fcf6631d,I can't get access to my Instagram account because I don't have access to the email and phone number I signed up with... I tried everything.. video selfie.. almost everything... I'm not making another account please may I have my account back,male,"Rabat, Morocco",2023-05-03,NEGATIVO,5,0.032884207,0.03689495,0.030498078,0.0266125,0.3750344,0.49807584
2404dc8c-8fde-4176-a76f-eb2ec5a72a9d,There is a problem with reels,male,"Phuket, Thailand",2022-05-02,NEGATIVO,1,0.060635157,0.7040807,0.056297485,0.04907048,0.07967588,0.05024031
02a07fa5-1fad-411f-a907-91392f9d5c54,Man i hate this app i cant send photos all together i have to send it one by one and some dont even send i cant even log back in my main acc anymore it all my friends and gcs were there and i even list my 1k followers gitchs alot sometimes doesnt even let me text i would have deleted this app ages ago if my friends were on them i hate it nothing can change my mind anymore,male,"Rio de Janeiro, Brazil",2025-02-01,NEGATIVO,4,0.02996539,0.033516187,0.028519507,0.35663688,0.5265265,0.024835465
aab32ef7-8aa4-4773-8a3f-0474ee893ef6,"Hi please upgret instagram, A new to full Tu upgred An new adavas phichar",female,"Queenstown, New Zealand",2025-11-08,NEGATIVO,3,0.05093268,0.05694771,0.047323454,0.7351602,0.06742676,0.042209193
39bd5872-43be-4271-b5e3-56bc32f09c38,It's not good 😏😏,male,"Dubai, United Arab Emirates",2022-11-10,NEGATIVO,1,0.062085096,0.47271827,0.057635296,0.05022117,0.30592814,0.051412016
752474ca-1b47-44fb-b89e-9d90aae80686,It's hard getting start up or if you've been in here for years. No likes No comments No followers TikTok is way better.,male,"Guayaquil, Ecuador",2024-08-04,NEGATIVO,3,0.25977707,0.13491955,0.034811206,0.37056527,0.05012681,0.14980014
bfdae039-e272-4cf5-93c1-d42c0985de78,All my reels are posting upside down,male,"Wellington, New Zealand",2025-06-07,NEGATIVO,3,0.05401948,0.060476344,0.050186843,0.7198107,0.07071899,0.044787608
2ec1213a-50cf-4d81-b122-927bcacacc5b,"I can no longer upload photos or uninstall or reinstall this app. I get a message ""something went wrong"" and no error code, no clues how to fix. Since I can't uninstall it or reinstall it, don't bother suggesting that. It's just dead on my PC. I'd have to try using a cell phone to upload photos. Dumb.",female,"Canberra, Australia",2025-07-08,NEGATIVO,5,0.030507123,0.03412256,0.028462648,0.024672,0.35839885,0.52383685
0000c389-503f-408b-a8f4-daed5f559696,Suspended and deactivated my account and the appeal option didn't work,male,"Madrid, Spain",2021-08-09,NEGATIVO,2,0.05422236,0.0603961,0.72415364,0.04373397,0.07261517,0.044878725
c20f7d78-a805-4bbb-9f8b-54311c25c0d4,"After update,my reels option has vanished 😤😤",male,"Gold Coast, Australia",2025-06-10,NEGATIVO,1,0.04963406,0.39070544,0.23560189,0.0401718,0.24276595,0.041120846
1bb33d5b-7c4c-4e17-a680-78f0e484abb2,Can't even create an account,male,"Cape Town, South Africa",2023-05-09,NEGATIVO,4,0.054135527,0.06049671,0.05027826,0.043804474,0.74642885,0.044856116
0a88b529-456d-4240-8b78-86793ef35ecb,"This app has many bugs in recent days. When someone tags me in their story,the massage wont be sent to me, etc",male,"Phoenix, United States",2023-11-12,NEGATIVO,5,0.0421622,0.047060646,0.03916279,0.24848828,0.055367015,0.56775916
9b4bc76f-094d-414f-91ac-73e3d782c124,Good,male,"Cali, Colombia",2024-08-03,NEGATIVO,4,0.07439866,0.083190076,0.0691192,0.06023553,0.65137804,0.061678477
6676d52d-3550-4beb-9288-bbdd606395da,It was fine and lovely site,male,"Hamburg, Germany",2021-07-06,NEGATIVO,4,0.16685303,0.18656923,0.15501288,0.13508964,0.21814944,0.1383257
f4edff1b-e359-4955-be3d-a4a96fae8670,Can't access too reel features,male,"La Paz, Bolivia",2024-11-08,NEGATIVO,5,0.061396003,0.06902295,0.057042737,0.049744766,0.08073854,0.68205506
48e440f7-968f-4d1c-9730-9b8f20164edc,This apps is so beautiful… It does not the access,female,"Nadi, Fiji",2025-12-12,NEGATIVO,5,0.074398674,0.08319021,0.069119215,0.060235552,0.097286604,0.61576974
1483cb5a-c8c8-4ec7-a512-4c874ce99e1c,"Worst app i have ever seen. My account is public despite of they are not giving much attention to my profile. I always make videos on trending sounds but my views and likes are too less compared to others. Instagram is doing partiality, may be they are taking bribe or something. If anyone can help pls help me.",male,"Santa Cruz, Bolivia",2024-11-05,NEGATIVO,4,0.02923413,0.034864306,0.20567197,0.02362825,0.6823456,0.024255717
3b811bfc-f501-4b11-a7ff-28bef483e437,Best app ever? Access does not work,male,"Riyadh, Saudi Arabia",2022-10-08,NEGATIVO,5,0.045044962,0.050364703,0.041873667,0.036453392,0.05926495,0.7669983
b35b856d-cfdd-4178-8950-33347dba06e5,Instagram is great app but after the update it's such a disaster and the reels section is just garbage now before the update reels section is so good and after that ughhhhh please fix that.....,male,"Vienna, Austria",2022-01-08,NEGATIVO,4,0.041495956,0.04649442,0.038560573,0.03358398,0.8054788,0.0343862
dd8b6129-7015-42d9-bceb-a9e08489a043,"I have never used an app as bad as Instagram. Full of bugs and worst algorithms. Can't hear audio in reels and stories and main page got black! Its better to turn down this application for forever so that we, the users, can live peacefully!!!",male,"Lisbon, Portugal",2021-07-07,NEGATIVO,4,0.029282767,0.032780338,0.027197381,0.023651414,0.8628728,0.024215318
79f99b2d-a911-468f-b3fa-5b214029b14a,Reel is not working,male,"Austin, United States",2024-07-12,NEGATIVO,1,0.061496958,0.700556,0.05696521,0.049668938,0.080441244,0.05087166
f7fce1c3-5c07-4b17-92c9-86ffe177e276,My reels are uploading upsidedown. I tried the suggested solutions and no luck.,male,"San Francisco, United States",2023-09-04,NEGATIVO,3,0.06187949,0.06934402,0.057489954,0.6788835,0.08109275,0.051310338
73449e3b-bd7a-43f8-a42a-f4b7c77c82e0,Always block my account,male,"Vienna, Austria",2021-09-02,NEGATIVO,3,0.054553274,0.060593195,0.050408855,0.7146588,0.07484589,0.04493998
dcfa967c-7fea-4831-857e-e38f62fcf64a,"This app is getting more worst over time. I got action blocked for defending myself in a group chat and it was hard for me to express what I was trying to say because I have tourettes syndrome and some times when I am talking or arguing I use cuss words to help cope with my syndrome,so I started typing while mad because not only I was trying to defend myself my Instagram was lagging too which made me really upset. I would like my Instagram account fix and not be activity banned anymore.please",male,"Edinburgh, United Kingdom",2022-02-05,NEGATIVO,5,0.029034153,0.031766612,0.06926874,0.022848785,0.3885889,0.45849285
f2459ba9-914b-4098-8238-1a1e16449ce0,धंझ2 ऊछ््झुनननंवधुज़फऔऊईऐश्ंननश्,male,"Asunción, Paraguay",2024-08-07,NEGATIVO,4,0.16685303,0.18656923,0.15501288,0.13508964,0.21814944,0.1383257
cdb03413-9e64-479f-9098-1bac35c1120e,Plzz install this app,male,"Calgary, Canada",2024-02-09,NEGATIVO,2,0.07452051,0.083305694,0.6223774,0.06024706,0.097851545,0.061697774
d31721f9-bfe5-400a-80e6-c408929a817a,please new update,male,"Bogotá, Colombia",2025-02-12,NEGATIVO,4,0.053071305,0.059373166,0.04935462,0.042997126,0.75118715,0.04401665
7c10c20c-799c-498d-b5c4-05dfb820844b,बंद करो,male,"Osaka, Japan",2022-03-08,NEGATIVO,4,0.16685303,0.18656923,0.15501288,0.13508964,0.21814944,0.1383257
1ba295c1-752f-4ad6-b66a-6f92baa34a3a,"I think I will change my rating but,🤔",male,"Alexandria, Egypt",2023-01-07,NEGATIVO,4,0.05346788,0.23534247,0.049619853,0.043234352,0.5740735,0.04426197
211fdb20-e232-43fb-82a1-721359c4b48c,Ads are coming pls help me,male,"La Paz, Bolivia",2024-11-09,NEGATIVO,5,0.05313286,0.0594116,0.049390923,0.043022558,0.06978397,0.7252581
f669a24b-952f-4ff3-a548-5c28e48d852d,Keeps crashing,male,"Jacksonville, United States",2024-04-11,NEGATIVO,1,0.07439865,0.6372965,0.06911918,0.060235504,0.09727162,0.061678573
83f3ef75-3f41-4644-b56f-0bfaa0ea61fb,Are you kidding me was with all the bots following why not a human can follow me so annoying,male,"Cali, Colombia",2024-11-10,NEGATIVO,5,0.049071617,0.24028827,0.044737592,0.038978055,0.06308215,0.5638423
f38e7733-2354-4526-b859-84653eb3dd68,After i hold pressing on a message to react on it It do react But then the chat page is clear I need to leave the chat and re-enter it to be normal💀,male,"Casablanca, Morocco",2023-01-08,NEGATIVO,2,0.04716694,0.049832627,0.6975567,0.03610528,0.13235237,0.036986068
