reviewId,content,gender,location,date,score
e95b300b-97d5-4d57-b9dd-52cba1d02074,👍 good,male,"Phoenix, United States",2015-11-13,POSITIVO
,I've been using Instagram for years and while I love the features like Reels and Stories it's always been a bit of an inconsistent experience with ads popping up everywhere sometimes they're really annoying and other times they're not at all which is frustrating because I don't know when to expect them anymore and that's what makes me not want to use it as much,,,,NEUTRO
30d18851-88e1-4c8b-ac04-e8977237dd32,Fb urcki r bdhvncib,female,"Queenstown, New Zealand",2020-03-12,NEUTRO
c05762cf-fbad-4663-b6a2-09c5bbfefa04,"Instagram is becoming like a adult only website, now it is only for adult people. Wherever you look there is sexual pornography going on, if I report pornography account you don't take action against those accounts. Now Instagram is very harmful for age group below 18.",male,"Taipei, Taiwan",2022-04-04,NEGATIVO
74d8a66d-e913-4048-9992-994328c07c35,The best part is that my feed shows exactly what I like. That’s something I appreciate.,female,"Washington DC, United States",2013-06-05,POSITIVO
0deb7c8e-cd4e-4ce9-9b24-c85ac1e35796,"It could be much fun if IG had the download feature just like twitter but with a authorization option by the user on who can download their posts(public, people who follow them,close friends or no one) that could be awesome!!!!",male,"Christchurch, New Zealand",2025-04-15,NEGATIVO
cb1ca085-3ecc-4d16-9af0-8f660392aa86,One issue is that you need to pay to get visibility. It gets frustrating after a while.,female,"Christchurch, New Zealand",2023-03-28,NEGATIVO
,I've been using Instagram for years and its definitely improved since Facebook acquired it but sometimes I feel like it's more focused on sales than actual community building and the algorithm change has made my content visibility way less,,,,NEUTRO
03e6e97f-294a-429b-b50d-93c3d794e045,What stands out is that it helps me stay connected with friends. It makes using the app enjoyable.,female,"Queenstown, New Zealand",2014-12-14,POSITIVO
,This app is constantly changing and it drives me crazy. The algorithm shows me nothing I want to see just garbage. I hate the constant forced ads and the interface is so confusing now. It feels like they are actively trying to ruin the experience.,,,,NEGATIVO
ee64ac39-8183-47e2-a6e8-1f12299f2243,That is good app me,male,"Jakarta, Indonesia",2011-08-29,POSITIVO
,I've been using Instagram for years and I'm so over the algorithm changes now they're more interested in pushing ads than showing me content from accounts I actually care about,,,,NEGATIVO
,The interface update is functional I find the new navigation structure acceptable but the photo loading sometimes takes a noticeable amount of time,,,,NEUTRO
5c0f4d22-06d3-4b9c-86cd-1f4168e0eea5,"Personally, it makes me compare myself too much. It gets frustrating after a while.",male,"Alexandria, Egypt",2020-06-24,NEGATIVO
e62ebf4b-e80e-434c-bedb-88036f1d118c,Kanha ff,male,"Lusaka, Zambia",2012-05-16,POSITIVO
55a1a055-9167-4542-a64f-142dbfae954f,Very sweet,male,"Riyadh, Saudi Arabia",2011-08-25,POSITIVO
871785e7-88bb-447e-a4da-9286c906e523,Superb mindblowing aap,male,"Medellín, Colombia",2014-01-18,POSITIVO
2c74cffa-c891-44ac-9546-8efa2757dbf1,Better,female,"Brisbane, Australia",2017-04-28,POSITIVO
635fdb96-a1c1-41d0-a952-05a064ef6597,Amazingly,female,"Auckland, New Zealand",2015-03-16,POSITIVO
5af6df73-b66e-43b3-a058-799467f7e679,Awesome App But my Padhai Distrub 🙃🙃,female,"Rosario, Argentina",2014-06-03,POSITIVO
