reviewId,content,gender,location,date,score,cluster_id,prob_topico_0,prob_topico_1,prob_topico_2,prob_topico_3,prob_topico_4,prob_topico_5,prob_topico_6
931571b9-ccd0-4049-bfe5-19d19080e049,"In my experience, i lose track of time scrolling on TikTok. It makes the experience less enjoyable.",male,"Riyadh, Saudi Arabia",2017-03-31,NEGATIVO,2,0.019603891,0.021784207,0.8636103,0.023002641,0.031766593,0.018131645,0.02210071
d9f8b698-68fb-4013-ab28-95695d5c6cb9,One issue is that it feels very addictive. It gets frustrating after a while.,male,"Paris, France",2016-10-19,NEGATIVO,4,0.024010547,0.026682239,0.024650939,0.028166302,0.84722054,0.022205137,0.027064346
063b6a2e-6639-4750-a6b6-8b9ed3720354,One issue is that i keep seeing the same trends repeatedly.,male,"Monterrey, Mexico",2018-01-12,NEGATIVO,0,0.83347905,0.026509017,0.024495808,0.027982,0.038575385,0.022065928,0.026892914
60de1337-b29b-456f-ab26-3d4aae474682,The main problem is that some videos get views randomly while others don’t. It makes it harder to stay focused.,male,"Lima, Peru",2018-10-04,NEGATIVO,1,0.018299455,0.5676637,0.018791566,0.021467935,0.33621988,0.016925717,0.02063167
ed0f242d-bb9b-4b4d-b7fa-a097290b16a2,"So far, the comment sections can be very toxic. It becomes overwhelming.",male,"Johannesburg, South Africa",2017-11-29,NEGATIVO,3,0.02404898,0.026722867,0.024694491,0.8363227,0.0388469,0.022243274,0.027120741
ad71201f-3b9a-4ffb-9a10-d6b9d0190ea1,"For me, i’m concerned about data privacy. It makes it harder to stay focused.",male,"Seattle, United States",2018-02-04,NEGATIVO,4,0.022194814,0.024664175,0.022789193,0.40075904,0.48404747,0.020528486,0.02501686
15aa7c54-6f2c-495d-a0ee-f22bcdc14ab6,"In my experience, there are too many ads and promotions. It becomes overwhelming.",male,"Marseille, France",2016-10-12,NEGATIVO,6,0.024033444,0.026705159,0.024678193,0.028189944,0.03880919,0.02222906,0.835355
1a881d1e-69d5-4092-bfaf-55c331b54e4d,One issue is that it’s hard to focus after using it. It becomes overwhelming.,male,"Denver, United States",2018-02-06,NEGATIVO,3,0.022372311,0.02485745,0.022970973,0.84770817,0.036168378,0.020691194,0.025231447
edfe2679-86c8-4b1f-bb8f-04b5761a8d83,"So far, there’s too much content to keep up with.",female,"Gold Coast, Australia",2019-05-12,NEGATIVO,4,0.028605696,0.20943339,0.029369667,0.03354639,0.6403478,0.026455931,0.032241214
41d53a61-724e-41bd-92f7-30a1aa8a10fe,One issue is that content quality varies a lot. It makes it harder to stay focused.,male,"Quito, Ecuador",2019-02-09,NEGATIVO,4,0.019068213,0.021187577,0.019578008,0.022363605,0.87867343,0.017635906,0.02149327
85cd6f4c-9c35-4979-aa6f-e0808bd1cd75,One issue is that i lose track of time scrolling on TikTok. That part could definitely be improved.,male,"Brasília, Brazil",2018-10-09,NEGATIVO,2,0.09261666,0.020315304,0.43087968,0.02145301,0.39721447,0.016910344,0.020610526
28d56d41-88d5-4f6d-87aa-82a36164c757,"Honestly, it feels very addictive. It makes the experience less enjoyable.",male,"Lyon, France",2017-01-18,NEGATIVO,4,0.02253776,0.02504496,0.023143908,0.026448084,0.85657024,0.02084557,0.025409507
7e73cb6a-9fe3-46b0-903b-dacbb3f67207,"I wanted to like it, but i keep seeing the same trends repeatedly. That part could definitely be improved.",female,"Canberra, Australia",2019-03-25,NEGATIVO,4,0.3194099,0.02118055,0.019568495,0.022355614,0.57837415,0.01762736,0.021483965
8e7334b0-fb1b-43ad-ac37-e2ff2499068d,What bothers me is that some videos get views randomly while others don’t. It gets frustrating after a while.,male,"Port Moresby, Papua New Guinea",2019-02-15,NEGATIVO,1,0.02178311,0.8503507,0.022365175,0.025553467,0.035248723,0.020146064,0.024552837
4c3c6bbe-6bb9-48ce-b414-d567f2e0e4f4,"Honestly, the comment sections can be very toxic.",male,"Singapore, Singapore",2017-03-16,NEGATIVO,3,0.028530143,0.031702623,0.029294277,0.80584496,0.046081245,0.026388245,0.03215854
35e646af-b390-4f7f-b7b7-0c02239594e0,What bothers me is that i’m concerned about data privacy. It gets frustrating after a while.,male,"Ottawa, Canada",2018-07-02,NEGATIVO,3,0.024088215,0.026770946,0.02473223,0.8360129,0.038966663,0.022278279,0.0271508
7b1bfc57-8403-4466-8606-067ce4bdce3c,"Personally, there are too many ads and promotions. It ends up feeling repetitive.",male,"Barcelona, Spain",2016-10-20,NEGATIVO,6,0.0223841,0.024875028,0.022984326,0.02626002,0.036168534,0.020703537,0.84662443
ea4bc28f-7465-4964-b556-7eae35c41756,"Honestly, it’s hard to focus after using it. It makes the experience less enjoyable.",male,"Madrid, Spain",2017-01-26,NEGATIVO,3,0.11184629,0.02348087,0.021698002,0.765385,0.034224607,0.019543864,0.02382139
a1cd67bd-24e1-44c4-b058-d7581b932e65,"Honestly, there’s too much content to keep up with. It makes the experience less enjoyable.",male,"Dar es Salaam, Tanzania",2017-08-16,NEGATIVO,4,0.021234572,0.023596773,0.021804847,0.024919474,0.8648655,0.019639747,0.023939025
6cf86a3a-f102-4384-aba6-00529c40ae90,"Honestly, content quality varies a lot. It makes it harder to stay focused.",male,"Beijing, China",2017-03-09,NEGATIVO,4,0.01995419,0.022173487,0.020488596,0.023402331,0.87303364,0.01845608,0.022491666
457e935a-7eae-4b20-993d-8e4f02577fa3,"In my experience, i lose track of time scrolling on TikTok.",male,"Asunción, Paraguay",2018-11-08,NEGATIVO,2,0.023857268,0.02650902,0.83418006,0.027979592,0.038517464,0.022065712,0.026890894
ab6ba209-c743-4ae0-b129-0ecfbebbbd82,"I wanted to like it, but it feels very addictive. That part could definitely be improved.",male,"Córdoba, Argentina",2019-01-07,NEGATIVO,4,0.021082401,0.023429744,0.021646742,0.024729745,0.86584926,0.019499453,0.02376273
bdea9b31-fe6f-4d0d-ae7b-e786a1d05e7e,What bothers me is that i keep seeing the same trends repeatedly. It becomes overwhelming.,male,"Windhoek, Namibia",2017-09-14,NEGATIVO,0,0.66212195,0.02558018,0.023640018,0.02701224,0.03718479,0.021292016,0.20316882
