reviewId,content,gender,location,date,score,cluster_id,prob_topico_0,prob_topico_1,prob_topico_2,prob_topico_3,prob_topico_4,prob_topico_5,prob_topico_6
931571b9-ccd0-4049-bfe5-19d19080e049,"In my experience, i lose track of time scrolling on TikTok. It makes the experience less enjoyable.",male,"Riyadh, Saudi Arabia",2017-03-31,NEGATIVO,3,0.027334305,0.030237189,0.030813549,0.81621987,0.02929824,0.032467425,0.03362935
d9f8b698-68fb-4013-ab28-95695d5c6cb9,One issue is that it feels very addictive. It gets frustrating after a while.,male,"Paris, France",2016-10-19,NEGATIVO,5,0.031252224,0.034571614,0.0352249,0.040863466,0.03349342,0.7861262,0.03846815
063b6a2e-6639-4750-a6b6-8b9ed3720354,One issue is that i keep seeing the same trends repeatedly.,male,"Monterrey, Mexico",2018-01-12,NEGATIVO,5,0.031230314,0.03454813,0.03520248,0.040765036,0.033469684,0.78635573,0.03842867
60de1337-b29b-456f-ab26-3d4aae474682,The main problem is that some videos get views randomly while others don’t. It makes it harder to stay focused.,male,"Lima, Peru",2018-10-04,NEGATIVO,6,0.024776878,0.027417388,0.027984617,0.03245948,0.19852906,0.029470842,0.6593618
ed0f242d-bb9b-4b4d-b7fa-a097290b16a2,"So far, the comment sections can be very toxic. It becomes overwhelming.",male,"Johannesburg, South Africa",2017-11-29,NEGATIVO,0,0.7805898,0.03448356,0.035143077,0.040889114,0.033438955,0.037051916,0.038403492
ad71201f-3b9a-4ffb-9a10-d6b9d0190ea1,"For me, i’m concerned about data privacy. It makes it harder to stay focused.",male,"Seattle, United States",2018-02-04,NEGATIVO,3,0.029573217,0.03271496,0.3985662,0.43592575,0.031692676,0.035126578,0.036400605
15aa7c54-6f2c-495d-a0ee-f22bcdc14ab6,"In my experience, there are too many ads and promotions. It becomes overwhelming.",male,"Marseille, France",2016-10-12,NEGATIVO,4,0.031222744,0.034536578,0.035189286,0.040801328,0.78274727,0.037084036,0.038418815
1a881d1e-69d5-4092-bfaf-55c331b54e4d,One issue is that it’s hard to focus after using it. It becomes overwhelming.,male,"Denver, United States",2018-02-06,NEGATIVO,4,0.029456327,0.032583825,0.033201735,0.03848604,0.79500085,0.035013236,0.03625803
edfe2679-86c8-4b1f-bb8f-04b5761a8d83,"So far, there’s too much content to keep up with.",female,"Gold Coast, Australia",2019-05-12,NEGATIVO,2,0.036255747,0.040119044,0.749507,0.04742285,0.038862173,0.043152362,0.044680715
41d53a61-724e-41bd-92f7-30a1aa8a10fe,One issue is that content quality varies a lot. It makes it harder to stay focused.,male,"Quito, Ecuador",2019-02-09,NEGATIVO,6,0.025713583,0.028445467,0.029041365,0.033576313,0.02755922,0.030558962,0.82510513
85cd6f4c-9c35-4979-aa6f-e0808bd1cd75,One issue is that i lose track of time scrolling on TikTok. That part could definitely be improved.,male,"Brasília, Brazil",2018-10-09,NEGATIVO,3,0.024669822,0.3707942,0.027809236,0.49061057,0.026440157,0.029318154,0.030357823
28d56d41-88d5-4f6d-87aa-82a36164c757,"Honestly, it feels very addictive. It makes the experience less enjoyable.",male,"Lyon, France",2017-01-18,NEGATIVO,3,0.029616304,0.03275671,0.033379335,0.800807,0.031751093,0.035212316,0.036477305
7e73cb6a-9fe3-46b0-903b-dacbb3f67207,"I wanted to like it, but i keep seeing the same trends repeatedly. That part could definitely be improved.",female,"Canberra, Australia",2019-03-25,NEGATIVO,5,0.025625965,0.39544132,0.028893903,0.03343889,0.027463827,0.4576065,0.031529583
8e7334b0-fb1b-43ad-ac37-e2ff2499068d,What bothers me is that some videos get views randomly while others don’t. It gets frustrating after a while.,male,"Port Moresby, Papua New Guinea",2019-02-15,NEGATIVO,6,0.029812029,0.032979455,0.0336031,0.038902506,0.031948693,0.03547532,0.79727894
4c3c6bbe-6bb9-48ce-b414-d567f2e0e4f4,"Honestly, the comment sections can be very toxic.",male,"Singapore, Singapore",2017-03-16,NEGATIVO,0,0.745933,0.03997801,0.040733874,0.047165595,0.038737863,0.042950295,0.044501346
35e646af-b390-4f7f-b7b7-0c02239594e0,What bothers me is that i’m concerned about data privacy. It gets frustrating after a while.,male,"Ottawa, Canada",2018-07-02,NEGATIVO,3,0.031273194,0.03459677,0.03525113,0.4919432,0.03351581,0.3348919,0.038528014
